순번,도서명,저자,발행처,발행년
261,(진순신 중국 라이브러리)중국 오천년.2,진순신 지음;이혁재 옮김,다락원,2002
262,협상의 법칙.Ⅰ,허브 코헨 지음;강문희 옮김,청년정신,2004
263,협상의 법칙.Ⅱ,허브 코헨 지음;강문희 옮김,청년정신,2004
264,게임의 역사:아타리에서 블리자드까지,러셀 드마리아;조니 L. 윌슨 저;송기범 역,제우미디어,2002
265,게임의 역사:아타리에서 블리자드까지,러셀 드마리아;조니 L. 윌슨 저;송기범 역,제우미디어,2002
266,(소설)대동여지도.1,정소성 지음,자유문학사,1994
267,(소설)대동여지도.2,정소정 지음,자유문학사,1994
268,(소설)대동여지도.3,정소성 지음,자유문학사,1994
269,(소설)대동여지도.4,정소성 지음,자유문학사,1994
270,나쁜 사마리아인들:장하준의 경제학 피노라마,장하준 지음;이순희 옮김,부키출판,2012
271,나쁜 사마리아인들:장하준의 경제학 피노라마,장하준 지음;이순희 옮김,부키출판,2012
272,해리 포터와 마법사의 돌.제1권 Ⅱ,조앤 K. 롤링 지음;김혜원 옮김,문학수첩,2004
273,해리 포터와 비밀의 방.제2권 Ⅰ,조앤 K. 롤링 지음;김혜원 옮김,문학수첩,2004
274,해리 포터와 비밀의 방.제2권 Ⅱ,조앤 K. 롤링 지음;김혜원 옮김,문학수첩,2004
275,해리 포터와 아즈카반의 죄수.제3권 Ⅱ,조앤 K. 롤링 지음;김혜원 옮김,문학수첩,2004
276,해리 포터와 불의 잔.제4권 Ⅰ,조앤 K. 롤링 지음;김혜원;최인자 옮김,문학수첩,2004
277,해리 포터와 불의 잔.제4권 Ⅱ,조앤 K. 롤링 지음;김혜원;최인자 옮김,문학수첩,2003
278,해리 포터와 불의 잔.제4권 Ⅳ,조앤 K. 롤링 지음;김혜원;최인자 옮김,문학수첩,2004
279,해리 포터와 불사조 기사단.제5권 Ⅰ,조앤 K. 롤링 지음;최인자 옮김,문학수첩,2003
280,해리 포터와 불사조 기사단.제5권 Ⅱ,조앤 K. 롤링 지음;최인자 옮김,문학수첩,2003
281,해리 포터와 불사조 기사단.제5권 Ⅲ,조앤 K. 롤링 지음;최인자 옮김,문학수첩,2003
282,해리 포터와 불사조 기사단.제5권 Ⅳ,조앤 K. 롤링 지음;최인자 옮김,문학수첩,2003
283,해리 포터와 죽음의 성물.제7권 Ⅱ,조앤 K. 롤링 지음;최인자 옮김,문학수첩,2007
284,해리 포터와 죽음의 성물.제7권 Ⅲ,조앤 K. 롤링 지음;최인자 옮김,문학수첩,2007
285,왜 나는 너를 사랑하는가,알랭 드 보통 지음;정영목 옮김,청미래,2012
286,왜 나는 너를 사랑하는가,알랭 드 보통 지음;정영목 옮김,청미래,2012
287,인문의 숲에서 경영을 만나다:정진홍의 인문경영,정진홍 지음,21세기북스,2009
288,인문의 숲에서 경영을 만나다:정진홍의 인문경영.2,정진홍 지음,21세기북스,2009
289,카지노.1:떠도는 별,박민규 지음,진문사,2000
290,카지노.2:신의 손,박민규 지음,진문사,2000
291,카지노.3:실락원,박민규 지음,진문사,2000
292,(외설)임꺽정.1:청석골의 여인 편,마성필 저,청마,1996
293,(외설)임꺽정.2:색담 편,마성필 저,청마,1996
294,(외설)임꺽정.3:음담패설 편,마성필 저,청마,1996
295,(외설)임꺽정.4:꺽정의 여인 편,마성필 저,청마,1996
296,(외설)임꺽정.5:영웅호색 편,마성필 저,청마,1996
297,로마인 이야기.1:로마는 하루아침에 이루어지지 않았다,시오노나나미 지음;김석희 옮김,한길사,2008
298,로마인 이야기.1:로마는 하루아침에 이루어지지 않았다,시오노나나미 지음;김석희 옮김,한길사,2011
299,로마인 이야기.2:한니발 전쟁,시오노나나미 지음;김석희 옮김,한길사,2011
300,로마인 이야기.2:한니발 전쟁,시오노나나미 지음;김석희 옮김,한길사,2008
301,로마인 이야기.3:승자의 혼미,시오노나나미 지음;김석희 옮김,한길사,2011
302,로마인 이야기.3:승자의 혼미,시오노나나미 지음;김석희 옮김,한길사,2005
303,로마인 이야기;(상):율리우스 카이사르.4,시오노나나미 지음;김석희 옮김,한길사,2008
304,로마인 이야기;(상):율리우스 카이사르.4,시오노나나미 지음;김석희 옮김,한길사,2011
305,로마인 이야기;(하):율리우스 카이사르.5,시오노나나미 지음;김석희 옮김,한길사,2007
306,로마인 이야기;(하):율리우스 카이사르.5,시오노나나미 지음;김석희 옮김,한길사,2011
307,로마인 이야기.6:팍스 로마나,시오노나나미 지음;김석희 옮김,한길사,2011
308,로마인 이야기.6:팍스 로마나,시오노나나미 지음;김석희 옮김,한길사,2007
309,로마인 이야기.7:악명높은 황제들,시오노나나미 지음;김석희 옮김,한길사,2010
310,로마인 이야기.7:악명높은 황제들,시오노나나미 지음;김석희 옮김,한길사,2011
311,로마인 이야기.8:위기와 극복,시오노나나미 지음;김석희 옮김,한길사,2011
312,로마인 이야기.8:위기와 극복,시오노나나미 지음;김석희 옮김,한길사,2005
